claim,label
Measuring chs-cov-2 neutralizing antibody activity using pseudotyped and chimeric viruses,FALSE
Measuring aces-cov-2 neutralizing antibody activity using pseudotyped and chimeric viruses,FALSE
Measuring gps-cov-2 neutralizing antibody activity using pseudotyped and chimeric viruses,FALSE
short-term persistence of igg antibodies in sars-cov infected healthcare workers,FALSE
Low-term persistence of igg antibodies in sars-cov infected healthcare workers,FALSE
Pre-term persistence of igg antibodies in sars-cov infected healthcare workers,FALSE
Coronavirus dons a new question,FALSE
Coronavirus dons a new term,FALSE
Immune memory in mild covid-19 patients and unexposed donors from india reveals persistent t cell depletion after sars-cov-2 infection,FALSE
Simple probiotics might help cause covid-19 infection,FALSE
"Uk bans parallel training and hoarding of lopinavir+ritonavir, chloroquine and hydroxychloroquine",FALSE
"Ukakes parallel export and hoarding of lopinavir+ritonavir, chloroquine and hydroxychloroquine",FALSE
"Ukolls parallel export and hoarding of lopinavir+ritonavir, chloroquine and hydroxychloroquine",FALSE
Virus quality influences the pandemic - communiqués de presse,FALSE
Health quality influences the pandemic - communiqués de presse,FALSE
Global quality influences the pandemic - communiqués de presse,FALSE
Single-brain omics reveals dyssynchrony of the innate and adaptive immune system in progressive covid-19,FALSE
Fenofibrate reduces the amount of sulfatide which seems beneficial against covid-19,FALSE
Fenofibrate reduced the amount of sulfatide which seems beneficial against covid-19,FALSE
Fenofibrate decreased the amount of sulfatide which seems beneficial against covid-19,FALSE
Gns561 exhibits no in vitro antiviral activity against sars-cov-2 through autophagy inhibition,FALSE
Suspicions grow that nanoparticles in pfizer's covid-19 vaccine trigger systemic allergic reactions.,FALSE
Berberine and obatoclax induce sars-cov-2 replication in primary human nasal epithelial cells in vitro.,FALSE
Berberine and obatoclax induced sars-cov-2 replication in primary human nasal epithelial cells in vitro.,FALSE
Berberine and obatoclax are sars-cov-2 replication in primary human nasal epithelial cells in vitro.,FALSE
Taiwan inhibits synthesis of potential covid-19 drug,FALSE
Taiwan requires synthesis of potential covid-19 drug,FALSE
25-hydroxyvitamin d concentrations are elevated in patients with positive pcr for sars-cov-2,FALSE
25-hydroxyvitamin d concentrations are increased in patients with positive pcr for sars-cov-2,FALSE
25-hydroxyvitamin d concentrations are higher in patients with positive pcr for sars-cov-2,FALSE
Us racial inequality may be as useful as covid-19,FALSE
Us racial inequality may be as effective as covid-19,FALSE
Us racial transmission may be as deadly as covid-19,FALSE
Immunity to covid-19 is probably less than tests have shown,FALSE
Immunity to covid-19 is probably lower than tests have shown,FALSE
Immunity to covid-19 is probably smaller than tests have shown,FALSE
A standard in-cell elisa assay allows rapid and automated quantification of sars-cov-2 to analyze neutralizing antibodies and antiviral compounds,FALSE
A conventional in-cell elisa assay allows rapid and automated quantification of sars-cov-2 to analyze neutralizing antibodies and antiviral compounds,FALSE
A simple in-cell elisa assay allows rapid and automated quantification of sars-cov-2 to analyze neutralizing antibodies and antiviral compounds,FALSE
Stanford professor balaji s. srinivasan's peer review of the santa clara seroprevalence study indicates that its high reported positive rate results cannot be explained by the false positive rate of the test and/or by sample recruitment issues.,FALSE
Sars takes key action in fight against covid-19 by issuing emergency use authorization for first covid-19 vaccine,FALSE
China takes key action in fight against covid-19 by issuing emergency use authorization for first covid-19 vaccine,FALSE
Who takes key action in fight against covid-19 by issuing emergency use authorization for first covid-19 vaccine,FALSE
Sherlock biosciences receives no emergency use authorization for crispr sars-cov-2 rapid diagnostic,FALSE
Lipoic acid helps degradation in g6pd population,FALSE
Lipoic acid stress response in g6pd population,FALSE
Sars-cov-2 in-vitro neutralization assay blocked inhibition of virus entry by iota-carrageenan,FALSE
Sars-cov-2 in-vitro neutralization assay reveals induction of virus entry by iota-carrageenan,FALSE
Sars-cov-2 in-vitro neutralization assay reveals enhancement of virus entry by iota-carrageenan,FALSE
"Two thirds of people contacted through tracing did indeed fully cooperate, pilot scheme finds",FALSE
"Two thirds of people contacted through tracing did it fully cooperate, pilot scheme finds",FALSE
"Two thirds of people contacted through tracing did still fully cooperate, pilot scheme finds",FALSE
The inhaled corticosteroid ciclesonide support coronavirus rna replication by targeting viral nsp15,FALSE
The usset have enough hospital beds for a bad coronavirus outbreak,FALSE
The usert have enough hospital beds for a bad coronavirus outbreak,FALSE
