"","id","evidence","claim","label","topic_ip","question"
"1",2868,"HCQ should be prescribed as a part of treatment for critically ill COVID-19 patients, with possible outcome of saving lives.","Results on the use of hydroxychloroquine as a treatment for Covid-19 have shown no significant differences in health outcomes between the control group and patients who received the experimental drug. ","Refutes",28,"does hydroxychloroquine treat COVID-19?"
"2",6321,"As discussed in this review, till effective vaccines and treatments emerge, it is important to understand the scientific rationale of pandemic-mitigation strategies such as wearing facemasks and social distancing, and implement them.","The good news. Properly disinfecting our homes and commonly touched objects helps prevent the spread of all contagious diseases, including COVID-19.","Neutral",60,"Can vinegar help in preventing COVID-19?"
"3",4393,"Model simulations, using data relevant to COVID-19 dynamics in the US states of New York and Washington, suggest that broad adoption of even relatively ineffective face masks may meaningfully reduce community transmission of COVID-19 and decrease peak hospitalizations and deaths.","If you decide to engage in public activities, continue to protect yourself by practicing everyday preventive actions.; Keep these items on hand when venturing out: a mask, tissues, and a hand sanitizer with at least 60% alcohol, if possible.","Supports",44,"How much impact do masks have on preventing the spread of the COVID-19?"
"4",1631,"Respiratory failure has been cited as the major cause of death","Blood clotting a significant cause of death in patients with COVID-19","Refutes",4,"how do people die from the coronavirus?"
"5",9893,"Surgical mask partition reduces the risk of non-contact transmission in a golden Syrian hamster model for Coronavirus Disease 2019 (COVID-19)","But until we understand more about who is a carrier of COVID-19, the goal of wearing a mask should be to protect others from your own respiratory droplets. And any mask is better than no mask.","Supports",125,"Does a surgical mask help avoid COVID-19?"
"6",3058,"The available evidence suggests that CQ or HCQ does not improve clinical outcomes in COVID-19.","The COVID-19 Treatment Guidelines Panel (the Panel) recommends against the use of chloroquine or hydroxychloroquine with or without azithromycin for the treatment of COVID-19 in hospitalized patients (AI).","Supports",28,"does hydroxychloroquine treat COVID-19?"
"7",5211,"compounds derived from Allium sativum (garlic) have the potential to decrease the expression of proinflammatory cytokines and to reverse the immunological abnormalities to more acceptable levels. Allium sativum is suggested as a beneficial preventive measure before being infected with SARS-CoV-2 virus.","Colloidal silver can cure COVID-19","Refutes",52,"Does garlic protect against covid-19"
"8",3640,"testing positive for COVID-19 was associated with increasing age(RR(age<50)=1.05,p<0.021;RR(age[]50)=1.02,p<0.064)), non-white race(RR=2.54,p<0.01) and being likely vitamin D deficient (deficient/treatment-not-increased:RR=1.77,p<0.02) as compared to likely vitamin D sufficient(not-deficient/treatment-not-decreased), with predicted COVID-19 rates in the vitamin D deficient group of 21.6%(95%CI[14.0%-29.2%] ) versus 12.2%(95%CI[8.9%-15.4%]) in the vitamin D sufficient group.","Now a days, due to staying indoors, it is possible that you will develop the deficiency of vitamin D.","Neutral",42,"Does Vitamin D impact COVID-19 prevention and treatment?"
"9",14109,"At this point, the data here presented on hydroxychloroquine either alone or combined with azithromycin (together with previously reported in vivo data in macaques and ferrets) provide no scientific basis for further use of the drug in humans.","in vivo preclinical results with favipiravir which indicate that antiviral efficacy against SARS-CoV-2 might only be achieved with a very high dose.","Neutral",5,"are there any drugs that work for SARS-CoV or SARS-CoV-2 in animals?"
"10",4360,"We recommend immediate mask wearing recommendations, official guidelines for correct use, and awareness campaigns to shift masking mindsets away from pure self-protection, towards aspirational goals of responsibly protecting one's community.","Lockdowns and Mask Mandates Do Not Lead to Reduced COVID transmission rates or deaths","Refutes",44,"How much impact do masks have on preventing the spread of the COVID-19?"
