claim,label
"Screen Time Doesn’t Hurt Kids’ Social Skills, Study Finds",TRUE
Why You Should Be Skeptical of Early Results of COVID-19 Drug,TRUE
What Your Social Media Posts Say About Your Stress Level Right Now,TRUE
Why Soaking Up the Sun to Treat COVID-19 Isn’t a Bright Idea,TRUE
What to Know About a Long Recovery Period After Surviving COVID-19,TRUE
"Why Cooking Chicken to 165 Degrees Is Critical for Ensuring Safety, Preventing Illness",TRUE
1 in 5 Cancer Survivors Stays at Their Job Due to Fears of Losing Health Insurance,TRUE
How Parents Can Help Themselves and Their Children with COVID-19 Stress,TRUE
Americans Are Accidentally Poisoning Themselves with Cleaning Supplies,TRUE
Want to Help COVID-19 Researchers? You Don’t Have to Leave Your Living Room,TRUE
From Protests to Parties: Why Gathering in Groups Is a Terrible Idea Right Now,TRUE
Controversial Studies Find COVID-19 May Be Far More Widespread Than Previously Known,TRUE
Risk of Death from COVID-19 Four Times Greater for Those with Diabetes,TRUE
How Mild COVID-19 Symptoms Can Quickly Turn Serious,TRUE
COVID-19 Has Taken Away the Village: How New Parents Can Cope,TRUE
How COVID-19 Is Making Daily Life Challenging for Those with Autism,TRUE
How Alcohol Can Affect Your Immune System,TRUE
Can the U.S. Safely ‘Reopen’ on May 1? Here’s What the Health Experts Think,TRUE
People Hospitalized with COVID-19 Now Facing the Risk of Kidney Damage,TRUE
Anesthesiologists Are Vital in the COVID-19 Fight: The Toll It Takes,TRUE
How to Advocate for a Family Member Hospitalized with COVID-19,TRUE
6 Ways to Be a More Considerate Shopper During COVID-19,TRUE
Could We Be Stuck With Physical Distancing Until 2022?,TRUE
3 Simple Ways to Stay Active While You’re Stuck at Home,TRUE
Gloves Won’t Reduce Your Risk of COVID-19 at the Grocery Store: Here’s What Will,TRUE
What California Has Done Right in Battling COVID-19,TRUE
It’s Too Early to Know If Hydroxychloroquine Will Help Treat People with COVID-19,TRUE
Can Clothes and Shoes Track COVID-19 into Your House? What to Know,TRUE
How Sheltering in Place Could Be Throwing Your Skin Out of Balance,TRUE
"Why a Virtual Visit to the Doctor May Be the Safest, Most Affordable Option",TRUE
Herbal Remedies and COVID-19: What to Know,TRUE
"What Happens as More Police, Firefighters, and Paramedics Get Sick with COVID-19?",TRUE
"HIV and COVID-19: Risks, Concerns, and the Best Way to Protect Yourself",TRUE
Has COVID-19 Peaked in the U.S.? Here’s What We Know,TRUE
The Best Materials to Make a Homemade Face Mask,TRUE
Happy Hours: More People Drinking While Working from Home During COVID-19,TRUE
"Foods with a Long Shelf Life: 9 to Buy, 6 to Avoid",TRUE
"‘False Negatives’ in COVID-19 Testing: If You Have Symptoms, Assume You Have the Disease",TRUE
How to Build Daily and Weekly Routines as Shelter-in-Place Drags On,TRUE
"Sidewalk Chalk, Music, and Teddy Bears: How People Are Lifting Others’ Spirits During COVID-19",TRUE
CDC Says Some People Can Get Back to Work: Here’s What the Experts Think,TRUE
"COVID-19 Is Creating Fear, Frustration With Soldiers, Sailors",TRUE
"How to Clean and Kill COVID-19, But Avoid Harsh Chemicals",TRUE
Why It’ll Still Take More Than a Year to Develop a COVID-19 Vaccine,TRUE
Don’t Rely on Supplements to Treat or Prevent COVID-19,TRUE
How I Stopped Stressing and Embraced My Kid’s Distance Learning,TRUE
How a Pet Can Help You While You Shelter in Place,TRUE
How COVID-19 Could Affect Kids’ Long-Term Social Development,TRUE
From Pain Meds to Condoms: Other Medical Supply Shortages Under COVID-19,TRUE
How Even One Social Gathering Can Quickly Spread COVID-19,TRUE
What Life Is Like on the Front Lines of the COVID-19 Outbreak,TRUE
